Title,Company,Location,Short Description,Link,full description
"APS6 Project Officer, Indicator Development",Australian Commission on Safety and Quality in Health Care,Sydney NSW,"The role contributes the Indicator Development team's work with focus on the development, revision and implementation of safety and quality indicators",https://www.seek.com.au/job/86274217?type=standard&ref=search-standalone&origin=cardTitle#sol=2d0c181e7bc5c486d7d9e4fbd1050991911f7e2d,"The Commission leads and coordinates national improvements in healthcare safety and quality. It works in partnership with patients, carers, clinicians, the Australian, state and territory health systems, the private sector, managers and healthcare organisations to achieve a safe, high-quality and sustainable health system.
The Measurement of Improvement Program (the Program) is responsible for a range of projects to support the meaningful use of data for quality improvements including projects relating to indicator development, data analytics, clinical quality registries and clinical trials. These projects aim to support the feedback of safety and quality data to multiple levels of the health system including consumers, clinicians, administrators and funders. This work also supports the Commission’s national health information role and commitments under the National Health Reform Act 2011, and the National Health Reform and Information Agreements.
The Project Officer will work with the Program Manager and Senior Project Officers of the program to support the development and implementation of indicators to support quality improvement. This work will involve organising and assisting with public consultation processes, providing secretariat support to program committees, undertaking literature reviews and analysing information, drafting papers across the program areas and providing project support.
The position will contribute to the work of the Indicator Development team within the Measurement for Improvement program with a focus on the development, revision and implementation of safety and quality indicators. The team’s work includes projects focused on patient-reported measurement, incident management, patient safety culture and indicator development for clinical care standards.
Duties of the Project Officer will include, but are not limited to, the following:
Undertake project management activities including input into project planning and documentation; assistance with implementation; monitoring and reporting on progress, identifying problems and proposing possible solutions.
Research, review and analyse data, reports, published material and expert opinion to provide information and advice to support the development of projects and program initiatives.
Collate, edit and draft meeting papers, correspondence, discussion papers, submissions, consultation materials, briefing notes and other written materials associated with the program.
Provide secretariat support for committees and expert groups, including preparation of agenda papers, meeting notes, logistics and other administrative tasks.
Support procurement and financial administration, including obtaining quotes, liaising with vendors, drafting contracts, registering and closing contracts in the Commission’s financial system, processing of invoices, tracking and reconciliation.
Collaborate with other team members and other program teams within the Commission to support the work of the team.
Liaise with national and state authorities, professional organisations, individuals and non-government organisations to progress the program’s work priorities.
Other duties as required which may include projects and providing assistance to the Commission’s corporate functions, such as assistance with reception duties.
The successful candidate will have:
Strong conceptual, analytical and research skills, including demonstrated sound judgement and innovative problem-solving skills.
Demonstrated project management skills and experience.
Demonstrated strong writing skills, including the ability to write high level documents including briefing papers, reviews, submissions and meeting papers.
Demonstrated strong interpersonal skills with an ability to communicate effectively and develop productive working relationships with a range of stakeholders.
An understanding of Australia’s health care system and key safety and quality issues.
For further information, please refer to the position description and applicant pack available from the Commission’s website at:
https://www.safetyandquality.gov.au/careers
.
To apply for this position, please complete and submit an application form through
https://www.safetyandquality.gov.au/careers
and upload:
A CV summarising your relevant experience and qualifications
A two-page cover letter broadly addressing your suitability against both the position description and selection criteria.
PLEASE NOTE:
To apply for this role, please apply through the Commission's website, not through SEEK. Only complete applications will be considered.
Auto-generated applications will not be considered.
Candidates must be Australian citizens to be eligible to apply.
Please note:
This position will be offered in a hybrid model of office based (Sydney) and working from home, where operationally feasible. A regular weekly presence in the office is required.
Questions about the role can be directed to Vivi Nguyen -
Vivi.NGUYEN@safetyandquality.gov.au
.
Closing date for applications is
11.59pm Australian Eastern Standard Time (AEST), Tuesday 19 August 2025."
Digital Patient Navigator,Valion Health,Melbourne VIC,"The Patient Navigator has an integral role at Valion Health, assist participants as well as support management, team and referring organisations.",https://www.seek.com.au/job/86051653?type=standard&ref=search-standalone&origin=cardTitle#sol=162fb89c19a431dc97734eb59d75455db7b22418,"Valion Health
Valion Health was created as a solution for people who are unable to access health recovery and support services, or who choose to access these services in a convenient way. We are a virtual health service that delivers nursing and allied health services anywhere in Australia. We believe everyone deserves a high-quality service no matter where they live
Purpose
The Patient Navigator has an integral role at Valion Health. The primary focus of the role is to assist participants in navigating through a Valion Health program as well as support management, providers and staff and frequently liaise with referring organisations.
Role Responsibilities
Administration activities - receive and respond to inbound calls, emails and messages and send letters or reports to external organisations such as GP/Specialists and referring organisations.
Perform introductory calls and initial patient onboarding activities
Orients and educates participants and their carers by explaining the role of the nurse care coordinator; initiating the program and/or service;
Referrals: Work with the team to process incoming bookings, referrals and correspondence from external providers. Liaise with Operations Manager and Team to expedite referrals and their commencement in Valion Health Programs.
Processing participant data collection and updating electronic medical records as required.
Monitors delivery of care by documenting activity
Confidentiality: Strictly maintain patient confidentiality
Provides technical Support – participants
Escalates care when appropriate.
Communication: Communicate clearly and effectively with staff, participants, providers, and clients to ensure that problems and difficulties are avoided, resolved, or escalated to the appropriate individual.
Maintains patient care database by entering new information as it becomes available;
Participates in regular team meetings;
Coordinates patient-reported outcomes (PROMs PREMs) collection
Complete program feedback with program participants and providers
Provides support for health professional provider team
Complaints/compliments: must remain receptive to complaints and compliments in a  non-judgemental manner. All complaints to be escalated as per complaints policy.
Workplace Health & Safety -  take reasonable steps to maintain health and safety, and follow workplace health and safety procedures and policies, report all  incidents immediately to the Clinical Lead,  Operations Manager, or Director.
Assist team in the administration of audits and provider credentialing processes.
Assisting with developing business policies and processes to provide quality care; coordinating information and care requirements with care providers and clients.
Completes daily, weekly and monthly reporting.
Key Challenges
Working remotely
Working with multiple stakeholders – management, providers, staff, referrers, funders, patients, and carers – balancing the needs and requirements of each.
Working with a varied participant base
Selection Criteria
Demonstrated knowledge and experience in a health organisation
Highly developed organisational skills include managing and coordinating a range of tasks and competing priorities and meeting deadlines with limited supervision
Demonstrate excellent customer service, problem-solving, and analytical skills
High levels of IT literacy"
Customer Support Data Analyst,Mazda Australia,Mulgrave,Drive impact with data — turn insights into action and shape exceptional customer experiences as Mazda’s Customer Service Data Analyst.,https://www.seek.com.au/job/86049877?type=standard&ref=search-standalone&origin=cardTitle#sol=8b7719ed5dd062f151bfa2f0ed8711b571614b3a,"Ready to turn data into powerful customer experiences?
We are seeking a highly capable Customer Service Data Analyst to join our National Customer Support Department. This role is critical in enabling data-driven strategic decisions by delivering timely, accurate, and insightful reporting across key business operations.
About the Role:
As a Customer Support Data Analyst, you’ll be responsible for designing and executing data extraction and reporting solutions across multiple systems. Your work will directly support operational KPI tracking, business performance evaluation, and financial oversight for the department.
This is more than just a reporting role — you will identify trends, uncover insights, recommend system enhancements, and support continuous business improvement.
This position is a 12-month fixed term full-time contract, in-office presence
five days
a week at our Mazda Australia Head Office in Mulgrave, fostering a collaborative work environment and promoting effective teamwork.​
Key Responsibilities:
·         Design and maintain queries to extract data from multiple database systems
·         Build and maintain KPI data warehouses to monitor operational performance.
·         Develop and publish daily, weekly, and monthly KPI reports for internal and external stakeholders
·         Analyse customer service records and vehicle case data to identify trends and support decision-making
·         Monitor and report on key activities, including warranty transactions, customer inquiries, campaigns, and technical interactions.
·         Assist with financial reporting and the budget development process
·         Identify system issues and recommend enhancements for improvement
About you:
Are you skilled in Oracle SQL and Excel, familiar with CRM and analytics tools, and passionate about turning data into meaningful business insights? If so, we want you on our team!
To be successful, you will have:
A tertiary qualification in Information Technology, Business, or a related field
Proven experience in SQL and database query development
Strong skills in Microsoft Office (Excel, Access) and Power BI
Experience in requirements gathering, data analysis, and report design
High attention to detail and strong problem-solving skills
Excellent time management and organisational abilities
Effective communication skills and the ability to work collaboratively across departments
About Mazda Australia:
Welcome to Mazda Australia, where innovation and passion converge to redefine the automotive experience. As a key player in the Mazda Motor Corporation, we're committed to crafting vehicles that embody style, performance, and cutting-edge technology. Join our team and be part of a legacy that drives excellence on the roads and in the hearts of driving enthusiasts.
Mazda Australia Benefits:
New Car Discounts
, participation in the
Employee Demo Vehicle Program (discounted lease car options)
and
New Vehicle Drive Programs.
Annual bonus eligibility
and
17.5% annual leave loading
.
Access to
weekend loan cars, uniform allowance, onsite subsidised café, and additional perks
.
Paid
Parental Leave.
Join a collaborative team and supportive team culture.
Ongoing
learning and development opportunities
to fuel your career growth.
Wellness Programs throughout the year, Skin Checks, Annual Flu Vaccinations, Employee Assistance Program and Health Care provider discounts.
If you’re ready for a challenge, apply today to connect your vision with ours.  Discover more about us and seize this opportunity!
Application and Selection Process
We value attitudes, behaviours, and values that align with Mazda Australia’s culture.  Applicants will be subject to a police check, reference checks, and online psychometric assessment.
We thank you for your application, please note only shortlisted and candidates with full working rights in Australia will be contacted."
Data Specialist - Clinical Trials,Chris O'Brien Lifehouse,Camperdown,Transform cancer care through data-driven clinical trials research as Part Time Data Specialist at Lifehouse,https://www.seek.com.au/job/86062126?type=standard&ref=search-standalone&origin=cardTitle#sol=66ce7299d714dc68a3b4506e08e9a833304e242d,"Chris O’Brien Lifehouse is an internationally recognised independent, not-for-profit cancer hospital leading the way in delivering patient-centred cancer care. We seek passionate, caring, and dedicated staff who align with our Founder’s vision of creating a collaborative environment in which, respect, discovery, empowerment, and nurture, thrive in the interests of our patients.
The Role
Reporting to the Business Manager, the purpose of the Clinical Trial Data Specialist position is to complete data entry requirements of participants participating in clinical trials. Collect and record relevant trial data and work with the Principal Investigator and Sponsors to ensure accurate and timely data entry.
Key Responsibilities
Enter clinical trial data from Chris O’Brien Lifehouse’s electronic medical records into sponsor-designated electronic data capture (EDC) systems in accordance with trial protocols, source documentation, and sponsor requirements.
Monitor, track, and resolve data queries issued by sponsors, Contract Research Organizations (CROs), and monitors. Liaise with Study Coordinators and Principal Investigators to clarify discrepancies, confirm data accuracy, and ensure responses are documented appropriately in the EDC system.
Contribute to key data management milestones such as interim and final database locks. Escalate unresolved queries or potential delays to the Lead Study Coordinator, to facilitate timely resolution and maintain contractual timelines.
Adhere to ICH-GCP, institutional policies, and study-specific data entry requirements. Maintain audit-ready documentation for all data handling activities and participate in sponsor audits or monitoring visits as required.
Provide regular updates on data entry progress, outstanding queries, and expected timelines. Contribute to internal reports on data quality indicators, workload, and performance metrics to support continuous improvement.
Maintain current knowledge of relevant data entry platforms (e.g. Medidata Rave, Inform, Viedoc), trial protocols, and data workflows. Participate in, feedback sessions, and process improvement initiatives as directed.
Selection Criteria
Bachelor’s degree in a scientific or healthcare-related field
Understanding of clinical trial processes, data management principles and regulatory guidelines
Proficiency in electronic data capture (EDC) systems and clinical data management software
Experience in clinical data management or a similar role in the pharmaceutical or clinical research industry
Ability to work both as a team member and autonomously
Demonstrated high level of interpersonal skills, including verbal and written communication
Excellent planning and organisational skills
We are committed to providing equal opportunities, and we encourage everyone who meets the selection criteria and shares Chris O`Brien Lifehouse values to apply by submitting your CV and cover letter.
Benefits
Optional NFP salary packaging – increase your take home pay with $15,900 tax free benefit + meal and entertainment card.
Fitness Passport Access.
Employee Assistance program.
Onsite gym.
Access to e-learning programs and an opportunity to progress your career.
This is a Category B position. To be employed by Chris O’Brien Lifehouse you are required to provide evidence of vaccination to comply with the NSW Health Occupational Assessment, Screening & Vaccination against Specified Infectious Diseases Policy. Information regarding this Policy is available on our careers website: http://www.mylifehouse.org.au/aboutlifehouse/careers/
Culture
At Chris O’Brien Lifehouse, we are committed to providing a working environment where each individual is valued, respected, and supported to progress. Our priority is to ensure culture, policies, and processes are truly inclusive and that no one is disadvantaged on the basis of their Aboriginal and Torres Strait Islander identity, gender, culture, disability, LGBTIQA+ identities, family and caring responsibilities, age, or religion. We encourage everyone who meets the selection criteria and shares Chris O`Brien Lifehouse values to apply."
Data Cleansing Officer,Department of Health - Queensland,Bowen Hills,"Identify, analyse and cleanse data to identify discrepancies, inaccuracies, or outdated information",https://www.seek.com.au/job/86214808?type=standard&ref=search-standalone&origin=cardTitle#sol=25abc7d0dd2c8251207fec302e025369f1b08d2b,"As a Data Cleansing Officer you will collaborate closely with project teams and stakeholders to gather relevant datasets and updates, maintaining clean, consistent project records aligned with quality objectives. You will contribute to evaluating project options and feasibility through analysis of data quality impacts, identifying the costs and benefits of cleansing activities to support the project. Additionally, you will support the development of compelling narratives built on clean and verified data to enhance understanding and guide evidence-based workforce decision-making.
Role fit:
Demonstrated experience performing data cleansing activities within programs/projects, preferably in the healthcare industry.
Sound understanding of structured data validation and cleansing processes, including the ability to follow end-to-end data lifecycle procedures to ensure accuracy and consistency.
Experience in developing and applying data cleansing rules and scenarios to detect anomalies, assess data integrity, and document outcomes.
Why work with us?
Work alongside passionate professionals in a supportive and inclusive environment that values people and prioritises employee success and wellbeing. This includes:
Competitive salaries
12.75% superannuation
17.5% leave loading
Employee wellbeing
36.25 hour full time work week
Access to 24/7 confidential employee support providers and counsellors including for immediate family members
Additional flexibility to support your work life balance including access to generous leave entitlements, such as purchased leave, domestic violence leave, reproductive health leave, cultural leave, study and examination leave.
Professional development
Career progression with more than 300 diverse career pathways and career support to take you further!
Access to a variety of programs and initiatives to support training and career growth.
Grow your skills through hands-on experience and access to internal training opportunities and additional financial and leave benefits for approved external training and development.
Our commitment to equity, diversity and inclusion
At Queensland Health, our work environment is inclusive and supportive, and we value our employees. We are an equal opportunity employer and encourage applications from people of all cultures, abilities and backgrounds.
Our commitment to cultural safety, equity, diversity and inclusion means we understand some people may need changes to the recruitment process. If you need support during the recruitment process, such as meeting with the panel virtually instead of in person, please reach out to the hiring manager. We value diverse candidates and your need for adjustments will not affect our hiring decisions.
Ready to apply?
For further information on how to apply please review the attached Role Description.
Applications will remain current for a period of up to 12 months and may be considered for other vacancies which may include an alternative employment basis such as temporary, full time or part time."
Junior/Intermediate Data Analyst,Hyundai Rotem Company,North Ryde,Data driven analytical thinker with a passion for turning complex datasets into actionable insights!,https://www.seek.com.au/job/86342226?type=standard&ref=search-standalone&origin=cardTitle#sol=ed09a9e85e375e23b74da8e3ef01d2ccad4cf854,"Hyundai Rotem Company (HRC) was founded in 1977 and since that time, has been leading the industry globally by delivering critical national infrastructure in over 50 countries.  A leader in the Korean rail industry, HRC has succeded in developing high-speed trains and is now establishing their presence in the Australian market.
Currently, the Australian operation of HRC is working on two major projects:
The New Intercity Fleet (NIF) Project - a joint venture between HRC, UGL and MEA, this project is delivering a fleet of new intercity trains for operation in the NSW electrified rail network.  The fleet comprises of 55 Long Units and 70 Short Units for the Newcastle, Blue Mountains, South Coast and Central Coast Lines; and
The Queensland Train Manufacturing Program (QTMP) - a project commissioning, designing and constructing a new manufacturing facility in Torbanlea Qld and a new maintenance facility in Ormeau Qld.  It includes manufacturing and delivering 65 EMU Train sets (390 cars) by the end of 2031.
Combined local and international design teams and suppliers will work together to ensure the delivery of manufacturing requirements and associated documentation to ensure that train sets locally manufactured in Australia meet the design, compliance, manufactuability, reliability, maintainability and safety specifications for the trains operational life for a minimum of at least 35 years.
Job
Purpose
As a Data Analyst, you will play a key role in supporting the Senior Data Analyst and the broader team to manage and analyse complex datasets. You will contribute to data driven reports that track key performance metrics including fleet performance, safety, cost, quality and delivery KPIs. You will also help build Power BI dashboards, assist with Power Apps development, and support continuous improvement initiatives across the business.
Key
Responsibilities
and
Accountabilities
Collect, clean and analyse data from multiple sources.
Develop dashboards and visual reports using Power BI
Assist in reporting on metrics such as fleet reliability, safety, cost, delivery and staff performance
Script and automate data workflows using SQL, Python, or Power Automate
Support development of automated reporting pipelines and refresh processes
Collaborate on Power Apps solutions to improve business processes
Test and refine app features in collaboration with end users
Selection Criteria
Qualifications or degree in Data, or similar
1-3 years' experience in a data analysis or reporting role
Must have relevant work visa (unrestricted), PR or Citizen of Australia
Strong skills in Power BI (dashboard creation, data modelling)
Exposure to Power Apps or a keen willingness to learn
Basic proficiency in SQL or Python (or strong interest in coding/automation)
High attention to detail and a methodical approach to tasks
Excellent communication and collaboration skills
Experience with SAP or Maximo (desirable but not essential)
How to apply:
Please submit your application via SEEK with your updated resume. Hyundai-Rotem is an equal opportunity employer committed to diversity and inclusion. We encourage applications from all qualified individuals, Only shortlisted candidates will be contacted. Employment is subject to background checks and unrestricted & relevant work rights in Australia."
Data Analyst,University of Wollongong,Wollongong,"Support national palliative care improvements through data analysis, dashboard development, and innovation at UOW’s Innovation Campus.",https://www.seek.com.au/job/86259307?type=standard&ref=search-standalone&origin=cardTitle#sol=74df855ad5793ebefd21617d010555b7b8635a82,"Full time, continuing contingent*
Two positions available
Level 6/7: $92,681 - $114,764 + 17% Superannuation
Wollongong Innovation Campus
The Palliative Care Outcomes Collaboration (PCOC), part of the Australasian Health Outcomes Consortium (AHOC) within the Faculty of Science, Medicine and Health, is a national program focused on improving palliative care through systematic data collection, analysis, and feedback.. Based at UOW’s Innovation Campus, AHOC brings together multidisciplinary experts dedicated to health data, innovation, and research impact.
We are seeking a skilled and motivated Data Analyst to support the PCOC program through robust quantitative analysis and data-driven innovation. In this role, you will manage large-scale datasets, contribute to the development of dashboards, improve data pipelines, and support process automation. Working under the guidance of a Data Scientist, you will play a key role in maintaining data integrity, producing high-quality analytics, and contributing to national reporting and service improvement efforts. This position offers the opportunity to make a real impact on health outcomes while working in a dynamic and collaborative research environment.
How to Apply
Applicants are requested to submit a CV and cover letter.  The cover letter should be no more than 3 pages, summarising your skills and experience as they relate to the selection criteria located in the position description.
For further information about this position, please contact Jesse Rand on
+61 2 4239 3493
jrand@uow.edu.au
Position Description
Closing Date:
Sunday 17 August 2025, 11:59 PM
The University of Wollongong is committed to workplace equity, diversity and inclusion.  We value and acknowledge the importance of our people’s diverse experiences, talents and cultures that they bring to work with them each day. Embracing diversity and creating inclusion is a key component of attracting and retaining talent in our workforce. The creation of a diverse and inclusive workforce is central to our ability to unlock potential, enhance our success and achieving our vision of being in the Top 1% of universities globally.
Note: Visa sponsorship is not available for this position.  Only candidates with valid work rights in Australia are eligible to apply.
*Continuing Contingent:  Refer to section 24 of the University of Wollongong (Professional Services Employees) Enterprise Agreement, 2023:   This position forms part of an external funding agreement. Should funding cease and not be renewed the continuing appointment may be terminated on the basis of the contingency."
Cancer Senior Data and Information Analyst,Grampians Health,Ballarat,Join a dynamic team committed to excellence in healthcare with a rewarding role. Your journey to meaningful work starts here.,https://www.seek.com.au/job/85906214?type=standard&ref=search-standalone&origin=cardTitle#sol=80d3626fdc292b2b23599417b44207530f3bcfef,"Company description:
Grampians Health exists to serve our communities across the Grampians region, providing complete care as close as possible to people's homes.
Job description:
Fixed Term Part Time
About the Role
Join Victoria's only dedicated cancer service improvement network as part of the Grampians Integrated Cancer Service (GICS) team. This exciting opportunity sits within the broader Victorian Integrated Cancer Services (VICS) network, working to improve the experiences and outcomes of those affected by cancer.
You will play a key role in managing local and statewide health datasets, using your analytical skills to generate insights that inform cancer service planning and delivery. The role involves translating complex data into clear, meaningful information for a range of internal and external stakeholders.
Flexible work arrangements and salary packaging options are available, making this an excellent opportunity for professionals seeking work-life balance while making a meaningful contribution to health outcomes.
Skills & Experience
Qualifications:
Tertiary qualification in health information management, health informatics, data/computer science, or a related discipline.
Experience in R and/or Python for data analysis and reporting is highly desirable.
Technical Skills:
Strong SQL skills with experience in writing complex queries for data extraction and manipulation.
Proficient in tools such as Power BI, R (ggplot2), or Python (matplotlib, seaborn) for creating data visualisations.
Solid understanding of database theory, healthcare data systems, and statistical analysis methods.
Knowledge of data governance, security, and relevant privacy legislation.
Experience in health record audit, data collection, and performance reporting.
Communication & Interpersonal:
Excellent written and verbal communication skills, including the ability to present complex data to non-technical audiences.
Strong relationship-building skills and the ability to engage stakeholders at all levels.
Collaborative team player with a customer service mindset and a positive, solutions-focused attitude.
Personal Attributes:
Adaptable and committed to continuous learning.
Highly organised with strong problem-solving and analytical skills.
Key Responsibilities
Manage and analyse health datasets to support cancer service improvement across the region and state.
Translate data insights into actionable information for internal reporting and external stakeholder engagement.
Develop engaging dashboards and visual reports using tools such as Power BI, R, or Python.
Ensure data quality, integrity, and compliance with privacy and governance standards.
Contribute to evaluation and quality improvement initiatives aligned with the Victorian Cancer Action Plan
2024-2028
.
Collaborate with local health services, statewide partners, and the broader VICS network to support integrated care delivery.
Participate in team-based planning and contribute to a culture of continuous improvement.
To see a full copy of the Position Description please
click here
Interested?
Click
APPLY
or if you wish to discuss the role prior to applying, contact
Kerry Davidson, Director GICS
on
0417 635 983
for a confidential discussion.
Job applications close: 17 August 2025
About Grampians Health
Grampians Health provides healthcare to a large region at our campuses based in Ballarat, Dimboola, Edenhope, Horsham and Stawell.
Our mission is to deliver sustainable healthcare tailored to evolving community and workforce needs. We strive to enhance services and careers, providing quality healthcare to rural and regional communities. Joining Grampians Health means being part of a diverse team, with a variety of career opportunities in acute, maternity, mental health, allied health, aged care and support services.
Culture & Benefits
At Grampians Health, we recognise our staff are our greatest asset.  We are committed to providing a safe and healthy environment for our staff, patients, residents, visitors, volunteers and contractors at all sites.
Flexible work arrangements and purchase leave opportunities
Salary packaging for living expenses such as rent/mortgage plus meals, entertainment & holidays
Access to Staff Fitness program
Staff rewards and recognition programs
Ballarat Region
Ballarat is the largest centre in Western Victoria and the state's fastest growing inland city.  Dubbed Australia's most liveable city in 2020, Ballarat is home to first class education, fine dining and boutique shopping.  Uniquely located within easy access to Melbourne, Geelong, Bendigo and the Western district, Ballarat is blessed with some of Australia's most significant heritage buildings and natural landscapes. To learn more about Ballarat click here -
Visit Ballarat
Diversity and Inclusion
All appointments are subject to a satisfactory police records check, immunisation clearance and Working with Children check and/or NDIS Worker Screening Check.
All employees must be willing and able to wear Personal Protective Equipment (PPE) when required, which at a minimum is a surgical mask. Additional PPE requirements are role-dependent.
Grampians Health is a child safe organisation, committed to the safety and wellbeing of all children and young people. Grampians Health is committed to providing a diverse and inclusive workforce.
We encourage applications from Aboriginal and Torres Strait Islander people, people with disability, people from culturally and linguistically diverse backgrounds, mature age workers and lesbian, gay, bisexual, transgender, queer (or questioning), intersex and asexual LGBTQIA+."
Data Migration Analyst,Dynamo Recruitment,Melbourne VIC,"Exciting permanent hybrid role in Melbourne with a global organisation, supporting leading healthcare providers in their transition to EHR systems.",https://www.seek.com.au/job/86234099?type=standard&ref=search-standalone&origin=cardTitle#sol=a27370b6db6b659b80be4a9b01ea66f32a4c61c0,"Data Migration Analyst – Healthcare IT (Epic)
��
Melbourne  | Hybrid Work Environment
��
Full-Time | Permanent Role
**Must be an Australian Citizen or PR **
Are you passionate about making a difference in healthcare through
technology?
Have you worked on Healthcare projects ?
We’re looking for a
Data Migration Analyst
to join our Melbourne-based team as we help leading healthcare organisations transition to
Epic
, one of the world’s most advanced electronic health record (EHR) systems.
In this role, you’ll collaborate with clinical and technical teams in a fast-paced environment, helping to extract, transform, and migrate critical patient data from legacy systems into Epic.
This is your chance to contribute to work that directly impacts continuity of care and patient outcomes.
��
About the Role
As a Data Migration Analyst, you’ll:
Build strong, collaborative relationships with clients and internal teams
Communicate confidently with both clinical and technical stakeholders
Work across multiple projects with a range of healthcare clients
Translate legacy clinical data into Epic-compatible formats
Handle a variety of clinical data types – from allergies and medications to vital signs, notes, and scans
Ensure data integrity through detailed testing, validation, and adherence to change control processes
✅
Skills Required:
1–3 years of professional experience in healthcare
Exposure to or experience working with
Epic
preferred
Experience working with
HL7 is preferred
Strong analytical and troubleshooting skills
Excellent written and verbal communication
High attention to detail and accuracy
Proficiency in Microsoft Office (Excel, Outlook, PowerPoint, Word)
Bachelor’s degree in a relevant field
Eagerness to learn and grow in a dynamic environment
��
Why Join Us?
Meaningful work that improves healthcare outcomes
Collaborative and supportive team culture
Opportunities for professional development
Work with innovative technology in the health sector
Apply for Full PD
Exclusive to Dynamo!"
Data Manager,Metro South Health,Brisbane QLD,"Seeking an experienced Data Manager to support Bayside Executive, focusing on data quality across Corporate, Clinical Governance, and Departments",https://www.seek.com.au/job/86219753?type=standard&ref=search-standalone&origin=cardTitle#sol=da5a743e91000e5cad2a1fb502e2eb0a8042afc3,"Your new Role:
Do you want to be part of a driven and supportive team who share a passion for quality, performance, and overall patient satisfaction. We are looking for an experienced Data Manager to provide support to Bayside Executive with a focus on data quality at Corporate, Clinical Governance and Department levels.
About You:
The primary purpose of the Bayside Data Manager role is to examine the quality of data used to report Facility performance and to develop and enact processes to improve data quality. With the ability to :
Communicate and implement identified strategies at hospital and departmental level
Apply relevant analytical techniques to deliver reliable data reports in formats that are user friendly, fit for purpose and relevant to the needs of the user
Develop a positive culture which encourages and recognises high performance, builds leadership capabilities and supports staff to maximise their health and wellbeing
Advanced experience in QLD Health systems including HBCIS, ieMR; and FirstNet Using dashboards and databases to produce reports and to provide statistical analysis is desirable
Check out our quick tips and application essentials!
What we can offer you:
We offer a family-friendly work environment that supports you in making the most of Queensland's laid-back lifestyle.
We are renowned for teaching and research excellence with strong relations with Queensland's leading tertiary institutions.
We want to empower you to build a long-term career, with countless opportunities to learn and grow, no matter your role
You'll have all the benefits of working for Queensland's world-class public health system including generous
leave entitlements, attractive salary and remuneration packages, salary packaging
and access to relevant professional development allowances and/or leave, study and research assistance, corporate discounts and employee wellness programs.
Redlands Satellite Hospital – Talwalpin Milbul:
The satellite hospital is also known as Talwalpin Milbul, a name chosen by the Redlands Coast community and local Traditional Owners and Elders. It means ‘Redland Bay alive/active' in Jandai language.
The satellite hospital treats minor illnesses and injuries that aren't life-threatening, and we also have diagnostic services for patients having treatment, including ultrasound, X-ray and pathology.
Redlands Satellite Hospital – Talwalpin Milbul
, a place where you can really make a difference in the local community!
INTEGRITY | COMPASSION | ACCOUNTABILITY | RESPECT | ENGAGEMENT | EXCELLENCE
Our values
were created by employees for employees to shape our culture and inspire positive interactions in the workplace. Diversity of ideas, skills, traditions, and customs is celebrated as one of our greatest strengths. Having a workforce that reflects and understands the needs and expectations of our community is important to delivering safe, kinder, and more inclusive care.
We recognise our
strength
comes from the
diversity of our people
and so we encourage people of all genders, ethnicities, ages, abilities, languages, sexual orientation, and family responsibilities to apply.
We are Metro South Health:
We are the major public healthcare provider for Brisbane's south side, Logan, Redlands, and the Scenic Rim operating five major hospitals and a range of community, specialty, and state-wide healthcare services.
We are bold, innovative, collaborative, inspiring. We save lives, change lives, and make the world a better place. We are part of and proud of the community we serve.
We are
better together
."
