Title,Company,Location,Short Description,Link
Data Migration Analyst,Dynamo Recruitment,Melbourne VIC,"Exciting permanent hybrid role in Melbourne with a global organisation, supporting leading healthcare providers in their transition to EHR systems.",https://www.seek.com.au/job/86234099?type=standard&ref=search-standalone&origin=cardTitle#sol=a27370b6db6b659b80be4a9b01ea66f32a4c61c0
Data Manager,Metro South Health,Brisbane QLD,"Seeking an experienced Data Manager to support Bayside Executive, focusing on data quality across Corporate, Clinical Governance, and Departments",https://www.seek.com.au/job/86219753?type=standard&ref=search-standalone&origin=cardTitle#sol=da5a743e91000e5cad2a1fb502e2eb0a8042afc3
Business Intelligence & Data Analyst,Robert Half,Melbourne VIC,"Join a healthcare organisation focused on data excellence. Support informed decisions with timely, accurate insights across teams and services.",https://www.seek.com.au/job/86084158?type=standard&ref=search-standalone&origin=cardTitle#sol=186ea9f9b2df12419dccaf627851afc70de6976e
Data Analyst,Reserve Bank of Australia,Sydney NSW,Join the Economic Analytical & Technical Services team to develop & maintain the Banks data infrastructure.,https://www.seek.com.au/job/86333520?type=standard&ref=search-standalone&origin=cardTitle#sol=4ad7cd41ada02ed70f7d79375b507ee65db91462
Principal Workforce Analyst,South West Hospital and Health Service,Roma,Building better health in the bush,https://www.seek.com.au/job/86252776?type=standard&ref=search-standalone&origin=cardTitle#sol=a66644da39d062a2b1c34722597e347322d160b9
Business Intelligence Analyst,HammondCare,St Leonards,"Immediate start, 6 months contract, min 2 year's experience with strong tech background in BI & Data Analytics required",https://www.seek.com.au/job/86212495?type=standard&ref=search-standalone&origin=cardTitle#sol=2abecd5065c710deccdb466f96cfd3544b3a1dfa
Principal Business Analyst,Department of Health - Queensland,Fortitude Valley,"Great opportunity for experienced Principal Business Analysts to join our team to innovate, deliver and drive effective ICT solutions",https://www.seek.com.au/job/86284184?type=standard&ref=search-standalone&origin=cardTitle#sol=dfa49f1e6eec7b2f16396648d266fa2317ab53e5
Clinical Research Assistant (Clinical Genomics),St Vincent’s Hospital Sydney,Darlinghurst,Fantastic opportunity to support clinical genomics research for a leader in the healthcare sector!,https://www.seek.com.au/job/85907611?type=standard&ref=search-standalone&origin=cardTitle#sol=05de02a295221de9c0cea86cca46000fe0a6cc35
Data & Reporting Analyst (6 Month FTC),DYE & DURHAM PTY LTD,Melbourne VIC,We are looking for an energetic Reporting Analyst to join our team!,https://www.seek.com.au/job/86245186?type=standard&ref=search-standalone&origin=cardTitle#sol=5f809dbbcb0b99ca7a49fc698961ac84975879dc
Research Assistant,Mater Group,South Brisbane,Mater Research are looking for a Research Assistant to join the Biobank team! This permanent full-time role will be based at our South Brisbane campus,https://www.seek.com.au/job/86221033?type=standard&ref=search-standalone&origin=cardTitle#sol=3272cd6e9421aafd08f1cdfaf1d42e9ddee47fc7
Data Entry,Douglas & Mann Pty Ltd t/as Histopath,Macquarie Park,"Join our team! Ensure accurate records, support workflows, and thrive in a fast-paced role where your attention to detail shines.",https://www.seek.com.au/job/86313282?type=standard&ref=search-standalone&origin=cardTitle#sol=7a7cff90819c11c44a0e0915ece519f23fb9875b
"Solution Specialist (Microsoft 365), Queensland Health",Department of Health - Queensland,South Brisbane,"Work with key stakeholders and other subject matter experts, to design, develop and deploy custom Microsoft 365 solutions. This will include...",https://www.seek.com.au/job/86292244?type=standard&ref=search-standalone&origin=cardTitle#sol=adf8c5bceb77bbbbcf0e7b97e4e946e5be7cbb5f
Data Migration Officer,Department of Health - Queensland,Bowen Hills,"Provide expertise in the planning, implementation, and oversight of data migration initiatives across departmental systems",https://www.seek.com.au/job/86215086?type=standard&ref=search-standalone&origin=cardTitle#sol=0f9eca91cabac131b0b8060a1e88b4ff46a75fb2
Business Analyst,EBOS Group Ltd,Milton,Centralised reporting role with TerryWhite Chemmart,https://www.seek.com.au/job/86304536?type=standard&ref=search-standalone&origin=cardTitle#sol=afc53b37e41a79243910136cfecf8821f3d12b62
BI Reporting Specialist,Bolton Clarke,Kelvin Grove,Join Bolton Clarke as a BI Reporting Specialist and help shape the future of data-driven decision-making in aged care.,https://www.seek.com.au/job/86345008?type=standard&ref=search-standalone&origin=cardTitle#sol=249c53ba191681f1e86b23cfa79fd624d0ac3166
Research Assistant,Macquarie University,North Ryde,"Support impactful research in a dynamic team. Use your skills in ethics, writing, and data to drive real outcomes in health and innovation.",https://www.seek.com.au/job/86357049?type=standard&ref=search-standalone&origin=cardTitle#sol=906e8928d1d4543796251ba47a72a42a68c11556
Data Linkage Analyst,SA Health - Dept for Health and Wellbeing,Adelaide SA,"Responsible forthe preparation, cleaning and preloading of data for linkage, to support high quality linkage of records into the data linkage system",https://www.seek.com.au/job/86237378?type=standard&ref=search-standalone&origin=cardTitle#sol=f0cc168468b205c213a161ddc2141458fd80438b
Data & Analytics Manager - Local Public Health Unit,Goulburn Valley Health,Shepparton,GV Health's Local Public Health Unit is seeking a highly motivated and skilled individual to join their dynamic team as Data & Analytics Manager.,https://www.seek.com.au/job/86332002?type=standard&ref=search-standalone&origin=cardTitle#sol=dda6050a156cc2148030fa5a0dd91bca95c8bcf4
Junior Test Analyst,Australian Healthcare Associates,Melbourne VIC,We’re currently seeking a Junior Test Analyst to join our IT team to help with the delivery of quality software applications.,https://www.seek.com.au/job/86284021?type=standard&ref=search-standalone&origin=cardTitle#sol=4ecdda1b182d83b1681eb8222d3d853911855fe6
"EL1 Senior Project Officer, Indicator Development",Australian Commission on Safety and Quality in Health Care,Sydney NSW,"This position will have a focus on the on the development, revision and implementation support of safety and quality indicators.",https://www.seek.com.au/job/86239496?type=standard&ref=search-standalone&origin=cardTitle#sol=a6633015dff42d2c6492952d28580fdddc165737
Data Analyst,Woolworths Group,Norwest,Supporting the Category Manager Insights & Tools team,https://www.seek.com.au/job/86310084?type=standard&ref=search-standalone&origin=cardTitle#sol=45b25eb8fa73e56b9e347ac297df79ad9950f217
Primary Healthcare Information Specialist,Royal Flying Doctor Service WA,Jandakot,"Optimise practice management systems, streamline workflows & improve data quality across RFDS primary care. Help drive better healthcare outcomes.",https://www.seek.com.au/job/85970857?type=standard&ref=search-standalone&origin=cardTitle#sol=23c5ecd70e9755aa39c268006bb2028fa76a1c6d
Junior Research Data Engineer,The Walter and Eliza Hall Institute,Parkville,The Walter and Eliza Hall Institute of Medical Research (WEHI) is one of Australia's leading biomedical research organisations.,https://www.seek.com.au/job/86283377?type=standard&ref=search-standalone&origin=cardTitle#sol=29f5b6551af69b8b8e542afc56069625f7a7430f
Project Officer,Australian Primary Health Care Nurses Association,Melbourne VIC,"Join APNA as a Project Officer. Make a difference, enjoy flexibility, salary packaging and grow your skills in a supportive and purpose driven team.",https://www.seek.com.au/job/86120884?type=standard&ref=search-standalone&origin=cardTitle#sol=2881a6bdea4f41750c45c9706d33ace592dad26e
Senior Business Data Analyst,Hudson,Macquarie Park,"Seeking a Commercial/Business Analyst with strong Excel skills to deliver insights, forecasting & reporting in a flexible hybrid APAC role.",https://www.seek.com.au/job/86257124?type=standard&ref=search-standalone&origin=cardTitle#sol=22c49fde4d5932b337eaa40607382762bdaaa0bd
"EL1 Senior Project Officer, Indicator Development",Australian Commission on Safety and Quality in Health Care,Sydney NSW,"This position will have a focus on the on the development, revision and implementation support of safety and quality indicators.",https://www.seek.com.au/job/86239496?type=standard&ref=search-standalone&origin=cardTitle#sol=647ffe3c968d5d7c1c448171e57a861695cedc55
System Business Analyst (12-month 1.0 FTE),South Eastern Melbourne Primary Health Network,Heatherton,Enhance CRM systems to support healthcare delivery,https://www.seek.com.au/job/86284125?type=standard&ref=search-standalone&origin=cardTitle#sol=796c43f2be048275692d14ebf32f6bc46aa1bc9d
Systems Support Officer,Australian Primary Health Care Nurses Association,Melbourne VIC,"Experience in systems administration and support, and want to make a real difference? Join us!  Vibrant team | Donuts | Salary packaging benefits",https://www.seek.com.au/job/86241085?type=standard&ref=search-standalone&origin=cardTitle#sol=cde4ae925b0e25a4e8d02807d0fa18e05c89f4c0
"Manager, Data Strategy Management",Department of Health - Queensland,Brisbane QLD,"The Manager, Data Strategy and Management, within the Health Infrastructure Queensland will lead a small team responsible for all the development",https://www.seek.com.au/job/86091365?type=standard&ref=search-standalone&origin=cardTitle#sol=f52531e43c7141e70effbeff11126a20c9ceadaf
Business Analyst,Department of Health,Launceston,We are seeking four highly motivated business analysts to support the clinical and corporate teams within Launceston General Hospital,https://www.seek.com.au/job/86277168?type=standard&ref=search-standalone&origin=cardTitle#sol=b5008fc32f71eeaff277f5b3c63a01dec7819096
Revenue Analyst,The Royal Melbourne Hospital,Parkville,Play a crucial part in ensuring the smooth operation of our revenue cycle and maximising private patient revenue.,https://www.seek.com.au/job/86156979?type=standard&ref=search-standalone&origin=cardTitle#sol=65d3293d9a5132e15929752267b028015643c359
APS Level 6 - Technical Analyst,Australian Department of Health,Sydney NSW,The Independent Health Aged Care Pricing Authority (IHACPA) is looking for a motivated Technical Analyst to join the Aged Care Pricing section. The...,https://www.seek.com.au/job/85750053?type=standard&ref=search-standalone&origin=cardTitle#sol=8bb4cf5f9d42426a75693d7604077a355c4f81ae
Power BI Developer,BlueCare,Toowoomba,Join the team at BlueCare as a Power BI Analyst/ Developer and lead the development of reporting solutions,https://www.seek.com.au/job/86313933?type=standard&ref=search-standalone&origin=cardTitle#sol=e2960fd8f5f56d641f2b1c2c0f4d7124549c1a04
"Strategy Lead, Private Hospitals",St Vincent's Health Australia,Melbourne VIC,Lead the strategic & service planning initiatives from conceptualisation through to implementation at St Vincent's focusing on our Private Hospitals,https://www.seek.com.au/job/85952498?type=standard&ref=search-standalone&origin=cardTitle#sol=17e7e4220d3776e2d7f54a2d6faa16b49490dc33
Data Engineer,The Royal Melbourne Hospital,Parkville,Full time permanent Data Engineer role - Hybrid and flexible work arrangements,https://www.seek.com.au/job/86221951?type=standard&ref=search-standalone&origin=cardTitle#sol=8abf97c750cf7a2b7229de73e997dce02a3fbc23
EMR Clinical Informatics Officer - SNOW Centre Project,The Royal Melbourne Hospital,Parkville,"Bridging clinical care and research, this role will support groundbreaking discoveries and improved patient outcomes in immune health.",https://www.seek.com.au/job/86280077?type=standard&ref=search-standalone&origin=cardTitle#sol=888db5c60688c4f5ba85e48cb9d22d1aab8a14ea
Finance Analyst,Stryker,St Leonards,"Strategically partner with key stakeholders to provide insight, highlight opportunities and enhance business performance.",https://www.seek.com.au/job/86349104?type=standard&ref=search-standalone&origin=cardTitle#sol=51e7bbc2ec0ef644e336d9008e839e9482e8c360
Data and Reporting Manager,Quinn Allan,North Sydney,We are looking for a Data & Reporting Manager to join a health institution North of Sydney on a 12-months Fixed Term Contract with possible extension.,https://www.seek.com.au/job/86096728?type=standard&ref=search-standalone&origin=cardTitle#sol=f5deab5a5ff8fb29f5253a878ef5020fdddd2009
Principal Cardiac Informatics Analyst,Metro North Hospital & Health Service,Fortitude Valley,"Provide a superior level of programming skill, technical expertise and advice to achieve specified business objectives",https://www.seek.com.au/job/86015349?type=standard&ref=search-standalone&origin=cardTitle#sol=32c77a7dee3c2003a6913177c9d4a647fb4423f4
ICT Business Analyst,Peoplebank Australia WA,Perth WA,ICT Business Analyst     Initial 6 month contracts based in the Perth CBD  Ideally seeking health / clinical background  Analysis of ICT data /,https://www.seek.com.au/job/86293372?type=standard&ref=search-standalone&origin=cardTitle#sol=0c25c5953a03f3a410e5aaf46197055e496bb47e
Data Assurance and Audit Officer,Western Health,Williamstown,"Coordinate key health datasets and drive data quality to support funding, planning, and patient care at Western Health.",https://www.seek.com.au/job/86183120?type=standard&ref=search-standalone&origin=cardTitle#sol=cf58f3f95e8098e2d8be949cff69598e1635b992
Business Analyst,Australian Healthcare Associates,Melbourne VIC,Join Australian Healthcare Associates and be part of a team dedicated to the enhancement and support of critical business systems.,https://www.seek.com.au/job/86078366?type=standard&ref=search-standalone&origin=cardTitle#sol=1afff127998f3e158e01600b23b74fe76aaf0ee0
Data Analyst - AU,Eucalyptus,New South Wales,"Founded in Australia in 2019, we have now helped over 500K patients globally by combining technology, design and operational excellence to help...",https://www.seek.com.au/job/85865567?type=standard&ref=search-standalone&origin=cardTitle#sol=fa15eb5a6014cc852d4b4dd2efcead37639ea0b5
Customer Insights Analyst,Programmed,Burswood,Programmed are seeking a Customer Insights Analyst to join the team supporting our Facility Management contracts in WA,https://www.seek.com.au/job/86252999?type=standard&ref=search-standalone&origin=cardTitle#sol=e46e4ef9b4abc367982d55185e1c4f9781f81118
Senior Information Analyst,Department of Training and Workforce Development,Osborne Park,Participates in many of the Performance Evaluation and Statistics branch’s operations.,https://www.seek.com.au/job/86249236?type=standard&ref=search-standalone&origin=cardTitle#sol=bef52817996fca4ca711dc9368b97f8f16d073a6
Quality & Learning Administrator,Royal Rehab,Milsons Point,"Drive digital change in healthcare! Join us as a Systems Analyst & Administrator and power better care through data, insights, and smart systems.",https://www.seek.com.au/job/85827887?type=standard&ref=search-standalone&origin=cardTitle#sol=649aa04fb40d168e2d46d5310ffdbca726edfdca
Analyst,Colliers,Sydney NSW,Seeking a proactive Analyst to support demographic and property market data analysis in the healthcare and retirement living sector.,https://www.seek.com.au/job/86145583?type=standard&ref=search-standalone&origin=cardTitle#sol=48504dc5416d6294bf6cb51b505bf8e6a4f1cf81
Clinical Business Analyst,Tenacity CX,Canberra ACT,Clinical Business Analyst who has experience working on ICT projects to deliver a healthcare solution.,https://www.seek.com.au/job/86275141?type=standard&ref=search-standalone&origin=cardTitle#sol=6ac7666bdaf05859d346022443a434e41e7903b6
Analytics Coordinator,VMIA,Melbourne VIC,"Seeking a graduate with excellent customer service experience to deep dive in multiple technical platforms, coding and exciting projects.",https://www.seek.com.au/job/86206592?type=standard&ref=search-standalone&origin=cardTitle#sol=8b021aba9f0cb9e01935e60d6c348fc7a39abaf5
Workforce Analyst,Australian Unity,Melbourne VIC,"Play a key role in enabling efficient and effective call center operations through accurate forecasting, capacity planning, and scheduling",https://www.seek.com.au/job/86251248?type=standard&ref=search-standalone&origin=cardTitle#sol=bce4d7b30d59a83e9564f9afca7c01375e8b349e
Marketing Manager,Boston Scientific,Mascot,"Lead marketing for Neuromodulation Pain therapies—drive strategy, referrals, digital, and launches across ANZ.",https://www.seek.com.au/job/86318986?type=standard&ref=search-standalone&origin=cardTitle#sol=7f40607327d44eb0395d5a8e1c203b5eacab396d
Airport Operations Support Analyst,Western Sydney Airport,Luddenham,"Drive smooth airport operations with roster coordination, data insights, and cross-team support in a fast-paced environment.",https://www.seek.com.au/job/86302051?type=standard&ref=search-standalone&origin=cardTitle#sol=98239ac2e209532dc7e6d7e545fcf3a1780d275e
Data Engineer,Healthcare Logic,Bundall,"If you’re passionate about data with purpose and want to see your work directly improve healthcare systems, this is your moment.",https://www.seek.com.au/job/86079805?type=standard&ref=search-standalone&origin=cardTitle#sol=c2aed8f3c36a7c284cc5cc733a32f7e916fc5eb2
Research Assistant,East Metropolitan Health Service,Perth WA,Permanent Full time or Fixed term Full time,https://www.seek.com.au/job/86171771?type=standard&ref=search-standalone&origin=cardTitle#sol=a1e6edd65dafbc621251c18e4a5af4b5313369ab
Research Governance Administrator,Metro North Hospital & Health Service,Herston,Permanent full time opportunity to provide technical and expert support and advice to researchers.,https://www.seek.com.au/job/86269516?type=standard&ref=search-standalone&origin=cardTitle#sol=33f99e0c9910cb897ef6e46077a89c4497e916b1
"Strategy Lead, Private Hospitals",St Vincent's Health Australia,Sydney NSW,Lead the strategic & service planning initiatives from conceptualisation through to implementation at St Vincent's focusing on our Private Hospitals,https://www.seek.com.au/job/85952635?type=standard&ref=search-standalone&origin=cardTitle#sol=909381852b6105b48e2a0f506aeab6f597e158cf
Business Intelligence Officer,Anglicare WA,East Perth,Boost Anglicare WA’s reputation—champion strong governance and showcase results through our Outcomes Measurement Framework.,https://www.seek.com.au/job/86271891?type=standard&ref=search-standalone&origin=cardTitle#sol=2018cf697f031a7e2bf40861093bca616c85471e
BI Developer,ASIC,Melbourne VIC,"ASIC's Data, Analytics and AI Team is hiring a BI Developer to design and deliver essential Power BI reports for business intelligence.",https://www.seek.com.au/job/86350261?type=standard&ref=search-standalone&origin=cardTitle#sol=6c2aba8d77d12fb6c01e56b1af1fa1f7ba036513
Business Analyst,SustainRecruit,Collingwood,Help shape digital healthcare experiences. BA role in agile team improving patient management platforms. Perm role,https://www.seek.com.au/job/85821310?type=standard&ref=search-standalone&origin=cardTitle#sol=677016aa83a21632db3b21097f8c6f87d126a1a7
"Senior Manager, Analytics & Automation",Abbott Australasia Pty Ltd,Macquarie Park,Looking for a Sales Force Analytics and Insights Manager to join our nutrition team,https://www.seek.com.au/job/85900108?type=standard&ref=search-standalone&origin=cardTitle#sol=e034ce0693ebc2e16e93dee37bcf4457f0df339e
Junior / Graduate Data Analyst - SQL / Power BI / Python - Fed Govt,HiTech Personnel,Canberra ACT,"Graduate Analyst role – join a high-profile Federal Gov dept, analyse critical data, influence security outcomes. 12+12mth contract.",https://www.seek.com.au/job/86348624?type=standard&ref=search-standalone&origin=cardTitle#sol=47db4a679dea68469144770aeca374ae84ec1eb5
Data Engineer and Analytics Officer,Bega Valley Shire Council,Bega,"Responsible for the development, integrity, maintenance, support of BVSC's corporate analytics, integration, automation and AI solutions.",https://www.seek.com.au/job/86272184?type=standard&ref=search-standalone&origin=cardTitle#sol=75d031bcc83000c3380973f1426d8e64dc8d838c
Improvement and Implementation Lead,Sunshine Coast Hospital and Health Service,Maroochydore,The opportunity to change people's lives and make a difference. Popular location. Professional development and attractive package offered.,https://www.seek.com.au/job/86049741?type=standard&ref=search-standalone&origin=cardTitle#sol=3bae35d7519443c6d25ddc3437e1467e8b5ce1e0
Data & Integration Lead,Mars Recruitment,Macquarie Park,"Lead integration and data projects in aged care. Hands-on role delivering modern data solutions, governance, and stakeholder engagement.",https://www.seek.com.au/job/85956099?type=standard&ref=search-standalone&origin=cardTitle#sol=544719614d4d940619480e9bbf56210bd24c5597
Clinical Trials Assistant,Alfred Health,Melbourne VIC,"6 months contract (possibility to extend) 
Full Time: 76 hours per FN
Classification: HS2
Flexibility work from home and office
Staff benefits",https://www.seek.com.au/job/86137260?type=standard&ref=search-standalone&origin=cardTitle#sol=733db088381ff38eddf908041732c0e9de0e31c4
"Administration Support Officer, Queensland Health",Department of Health - Queensland,Woolloongabba,Are you an experienced administrator with a talent for efficiency and organisation? We're looking for a person who has what it takes to support our...,https://www.seek.com.au/job/86221542?type=standard&ref=search-standalone&origin=cardTitle#sol=5cea73eced10d60e85389b823b059bed41ce2bfa
Strategic Business Intelligence Lead,Nextt Group Pty Ltd,Darlinghurst,Join Nextt's transformation! Help turn real-time data into impact as we roll out Salesforce and support people to live their best lives.,https://www.seek.com.au/job/86346211?type=standard&ref=search-standalone&origin=cardTitle#sol=9e0002f151cb178b26aff336d88c6de24f2f79a0
APS5 & APS6 Business Analysts,Randstad - Business Support,Melbourne VIC,We are seeking several Business Analysts (APS5 & APS6) to join a large federal government agency and play a key part in their mission.,https://www.seek.com.au/job/86177378?type=standard&ref=search-standalone&origin=cardTitle#sol=3d85e3ddeab455e3430768dcb35a78fd0f0ee1c5
Senior Manager Sourcing Analytics,Hays | Procurement,Melbourne VIC,Our public sector client is looking for a Senior Manager of Sourcing Analytics.,https://www.seek.com.au/job/86136081?type=standard&ref=search-standalone&origin=cardTitle#sol=2a090aea52c3459caabd24073931ac452276d9d7
"Senior Project Officer (Clinical Information Specialist, Register of Congenital",Ministry of Health,Sydney NSW,Join our Centre for Epidemiology and Evidence at the NSW Ministry of Health for an exciting 12-month temporary full-time opportunity.,https://www.seek.com.au/job/86270271?type=standard&ref=search-standalone&origin=cardTitle#sol=2bbbfac6190fa383a67c7315948a6de19f3d523c
Research Officer - Australia Dementia Network Registry,Monash University,Melbourne VIC,More than an admin role — it’s an opportunity to be part of a national research initiative that’s transforming the way dementia care is delivered,https://www.seek.com.au/job/86357596?type=standard&ref=search-standalone&origin=cardTitle#sol=6f32d65827ae4940320ec39456d5cf9e4ec6d118
Manager -Business Intelligence & Analytics,Milestone Information Technology,Melbourne VIC,"Milestone IT is excited to partner with a respected organisation in the healthcare sector to find an experienced Manager, Business Intelligence & A...",https://www.seek.com.au/job/86222614?type=standard&ref=search-standalone&origin=cardTitle#sol=ac115bf5f725161535e9530df8f749f458f600bf
Senior Clinical Coder,Metro North Hospital & Health Service,Redcliffe,"Permanent part time opportunity under the direction of the Senior Health Information Manager Data Services, guide and mentor the clinical coders",https://www.seek.com.au/job/86173872?type=standard&ref=search-standalone&origin=cardTitle#sol=d1420fe2fdd62f370f61f034c74c2f938d6392fd
ICT Planning and Performance Analyst - DMN653479,Metro North Hospital & Health Service,Fortitude Valley,Contribute to the strategic direction of digital health across Metro North by leveraging your analytical expertise and capacity planning capabilities.,https://www.seek.com.au/job/86301262?type=standard&ref=search-standalone&origin=cardTitle#sol=61ead0b5d26acbe4ee25b04cfdb76abfb73f0a33
"Business Analyst, Data & Operations",Catholic Early EdCare,Paddington,Drive impact through data. Use your analytics skills to improve outcomes across early learning services across SEQ.,https://www.seek.com.au/job/86333064?type=standard&ref=search-standalone&origin=cardTitle#sol=899cd79229fbb3aef72f973611a8440115b5a27f
"Senior Health Funding Analyst, Queensland Health",Department of Health - Queensland,Beaudesert,"Logan and Beaudesert Hospitals are looking for a Senior Health Funding Analyst to join their collaborative, supportive and dynamic team!
Your new...",https://www.seek.com.au/job/86190009?type=standard&ref=search-standalone&origin=cardTitle#sol=7b2ee4e1297a7bf7df1ddf58042bf3150ba4572b
Policy & Research Officer,The Council of Ambulance Authorities,Hilton,"If you're passionate about meaningful work in health policy, thrive on research and collaboration, we’d love to hear from you.",https://www.seek.com.au/job/86221891?type=standard&ref=search-standalone&origin=cardTitle#sol=eb7cdcf442a0e68d6641dec9e1a39aae4f2ba1f7
